Size,Method,Threads,Time_Sec
256,NumpyStrided,38,0.000110
256,Morton,38,0.000280
256,Tiled,38,0.000141
256,RowMajor,39,0.000086
256,ColMajor,39,0.000472
256,NumpyStrided,39,0.000107
256,Morton,39,0.000297
256,Tiled,39,0.000128
256,RowMajor,40,0.000106
256,ColMajor,40,0.000504
256,NumpyStrided,40,0.000116
256,Morton,40,0.000285
256,Tiled,40,0.000098
256,RowMajor,41,0.000088
256,ColMajor,41,0.000452
256,NumpyStrided,41,0.000105
256,Morton,41,0.000261
256,Tiled,41,0.000138
256,RowMajor,42,0.000087
256,ColMajor,42,0.000452
256,NumpyStrided,42,0.000116
256,Morton,42,0.000262
256,Tiled,42,0.000135
256,RowMajor,43,0.000085
256,ColMajor,43,0.000474
256,NumpyStrided,43,0.000118
256,Morton,43,0.000284
256,Tiled,43,0.000100
256,RowMajor,44,0.000099
256,ColMajor,44,0.000495
256,NumpyStrided,44,0.000108
256,Morton,44,0.000311
256,Tiled,44,0.000098
256,RowMajor,45,0.000085
256,ColMajor,45,0.000463
256,NumpyStrided,45,0.000111
256,Morton,45,0.000264
256,Tiled,45,0.000101
256,RowMajor,46,0.000092
256,ColMajor,46,0.000471
256,NumpyStrided,46,0.000105
256,Morton,46,0.000262
256,Tiled,46,0.000134
256,RowMajor,47,0.000085
256,ColMajor,47,0.000459
256,NumpyStrided,47,0.000114
256,Morton,47,0.000445
256,Tiled,47,0.000101
256,RowMajor,48,0.000093
256,ColMajor,48,0.000476
256,NumpyStrided,48,0.000114
256,Morton,48,0.000275
256,Tiled,48,0.000101
256,RowMajor,49,0.000107
256,ColMajor,49,0.000490
256,NumpyStrided,49,0.000112
256,Morton,49,0.000272
256,Tiled,49,0.000098
256,RowMajor,50,0.000128
256,ColMajor,50,0.000501
256,NumpyStrided,50,0.000109
256,Morton,50,0.000394
256,Tiled,50,0.000107
256,RowMajor,51,0.000100
256,ColMajor,51,0.000481
256,NumpyStrided,51,0.000153
256,Morton,51,0.000277
