Threads: 85, N: 10240000, Min: 0, Max: 999999, Time: 0.0073201
Threads: 85, N: 20480000, Min: 0, Max: 999999, Time: 0.0132173
Threads: 85, N: 40960000, Min: 0, Max: 999999, Time: 0.0148302
Threads: 85, N: 81920000, Min: 0, Max: 999999, Time: 0.0266992
Threads: 90, N: 5120000, Min: 0, Max: 999999, Time: 0.0067877
Threads: 90, N: 10240000, Min: 0, Max: 999999, Time: 0.0101516
Threads: 90, N: 20480000, Min: 0, Max: 999999, Time: 0.0121299
Threads: 90, N: 40960000, Min: 0, Max: 999999, Time: 0.0145770
Threads: 90, N: 81920000, Min: 0, Max: 999999, Time: 0.0278490
Threads: 95, N: 5120000, Min: 0, Max: 999999, Time: 0.0054137
Threads: 95, N: 10240000, Min: 0, Max: 999999, Time: 0.0099473
Threads: 95, N: 20480000, Min: 0, Max: 999999, Time: 0.0132246
Threads: 95, N: 40960000, Min: 0, Max: 999999, Time: 0.0142705
Threads: 95, N: 81920000, Min: 0, Max: 999999, Time: 0.0385999
Threads: 100, N: 5120000, Min: 0, Max: 999999, Time: 0.0038579
Threads: 100, N: 10240000, Min: 0, Max: 999999, Time: 0.0069568
Threads: 100, N: 20480000, Min: 0, Max: 999999, Time: 0.0094166
Threads: 100, N: 40960000, Min: 0, Max: 999999, Time: 0.0160380
Threads: 100, N: 81920000, Min: 0, Max: 999999, Time: 0.0225506
